size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft
900,Independent Floor,3,mayur vihar phase 1,19000,21.11111111111111
700,Independent Floor,2,mayur vihar phase 1,16500,23.571428571428573
900,Independent Floor,2,mayur vihar phase 1,22500,25.0
1800,Independent Floor,3,mayur vihar phase 1,25000,13.88888888888889
650,Independent Floor,2,mayur vihar phase 1,13500,20.76923076923077
600,Independent Floor,2,mayur vihar phase 1,12500,20.833333333333332
950,Independent Floor,2,mayur vihar phase 1,20000,21.05263157894737
500,Independent Floor,2,mayur vihar phase 1,14000,28.0
650,Independent Floor,2,mayur vihar phase 1,15000,23.076923076923077
800,Independent Floor,2,mayur vihar phase 1,20500,25.625
500,Independent Floor,2,mayur vihar phase 1,10500,21.0
450,Independent Floor,2,mayur vihar phase 1,9000,20.0
1000,Independent Floor,2,New Ashok Nagar,14000,14.0
650,Independent Floor,2,mayur vihar phase 1,12500,19.23076923076923
550,Independent Floor,2,mayur vihar phase 1,10000,18.181818181818183
1800,Apartment,3,Mayur Vihar II,35000,19.444444444444443
670,Independent Floor,2,mayur vihar phase 1,14000,20.895522388059703
670,Independent Floor,2,mayur vihar phase 1,14000,20.895522388059703
1050,Independent Floor,3,mayur vihar phase 1,20000,19.047619047619047
1150,Apartment,3,Mayur Vihar II,20000,17.391304347826086
1700,Apartment,3,Mayur Vihar II,30000,17.647058823529413
1800,Apartment,3,Mayur Vihar II,33000,18.333333333333332
2200,Apartment,4,Mayur Vihar II,45000,20.454545454545453
800,Apartment,2,Mayur Vihar II,16000,20.0
1100,Apartment,2,Mayur Vihar II,22000,20.0
1250,Apartment,2,Mayur Vihar II,19000,15.2
1200,Independent House,2,other,17000,14.166666666666666
750,Independent Floor,2,New Ashok Nagar,13000,17.333333333333332
1200,Independent House,2,laxmi nagar near metro station,14000,11.666666666666666
650,Independent Floor,2,New Ashok Nagar,11000,16.923076923076923
1250,Apartment,2,Mayur Vihar II,23000,18.4
1050,Apartment,2,Mayur Vihar II,20000,19.047619047619047
2300,Apartment,3,Mayur Vihar II,36000,15.652173913043478
2400,Apartment,3,Mayur Vihar II,30000,12.5
2400,Apartment,3,Mayur Vihar II,32000,13.333333333333334
550,Independent Floor,2,New Ashok Nagar,10000,18.181818181818183
1600,Apartment,3,Mayur Vihar II,32000,20.0
1100,Apartment,2,Mayur Vihar II,20000,18.181818181818183
950,Apartment,2,Mayur Vihar II,16000,16.842105263157894
1250,Apartment,3,Mayur Vihar II,23000,18.4
1000,Apartment,2,Mayur Vihar II,13500,13.5
900,Independent Floor,2,New Ashok Nagar,12000,13.333333333333334
1450,Independent Floor,3,New Ashok Nagar,22000,15.172413793103448
650,Independent Floor,2,New Ashok Nagar,12000,18.46153846153846
700,Independent Floor,2,New Ashok Nagar,14000,20.0
700,Independent Floor,2,New Ashok Nagar,10000,14.285714285714286
600,Independent Floor,2,New Ashok Nagar,12500,20.833333333333332
500,Independent Floor,2,New Ashok Nagar,10500,21.0
1800,Independent Floor,3,Shahdara,45000,25.0
2000,Apartment,4,Mayur Vihar,37000,18.5
1050,Apartment,2,Mayur Vihar II,20000,19.047619047619047
2200,Apartment,4,Mayur Vihar II,45000,20.454545454545453
1600,Apartment,3,Mayur Vihar II,32000,20.0
1200,Apartment,2,Mayur Vihar II,21000,17.5
2300,Apartment,4,Mayur Vihar II,35000,15.217391304347826
1000,Apartment,2,Mayur Vihar II,16500,16.5
2000,Apartment,4,Mayur Vihar II,40000,20.0
2100,Apartment,4,Mayur Vihar II,40000,19.047619047619047
1450,Independent Floor,3,Anand Vihar,43000,29.655172413793103
1450,Independent Floor,3,Shahdara,35000,24.137931034482758
1710,Independent Floor,3,Shahdara,45000,26.31578947368421
1350,Independent Floor,3,Anand Vihar,40000,29.62962962962963
1800,Independent Floor,3,Shahdara,35000,19.444444444444443
1300,Independent Floor,2,Anand Vihar,45000,34.61538461538461
1500,Apartment,3,IP Extension,26000,17.333333333333332
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
800,Apartment,2,Anand Vihar,17000,21.25
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
1200,Apartment,2,New Ashok Nagar,22000,18.333333333333332
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
950,Apartment,2,Patparganj,21000,22.105263157894736
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
1650,Apartment,3,Patparganj,38000,23.03030303030303
1100,Apartment,2,Patparganj,23000,20.90909090909091
1000,Apartment,2,Patparganj,24000,24.0
1800,Apartment,4,Patparganj,35000,19.444444444444443
1650,Apartment,2,Patparganj,35000,21.21212121212121
1300,Apartment,3,other,24000,18.46153846153846
1450,Apartment,3,Patparganj,30000,20.689655172413794
1650,Apartment,3,Patparganj,30000,18.181818181818183
1050,Apartment,2,Patparganj,21000,20.0
1650,Apartment,3,Patparganj,30000,18.181818181818183
950,Apartment,2,Patparganj,20000,21.05263157894737
1450,Apartment,3,Patparganj,30000,20.689655172413794
950,Apartment,2,Patparganj,21000,22.105263157894736
900,Independent Floor,3,laxmi nagar near metro station,20000,22.22222222222222
1250,Apartment,3,Patparganj,27000,21.6
800,Independent House,2,other,16000,20.0
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
550,Independent Floor,2,mayur vihar phase 1,11500,20.90909090909091
600,Independent Floor,2,other,10000,16.666666666666668
900,Independent Floor,3,laxmi nagar near metro station,16000,17.77777777777778
950,Apartment,2,Patparganj,20000,21.05263157894737
1600,Apartment,3,Patparganj,35000,21.875
1050,Apartment,2,Patparganj,18900,18.0
651,Independent Floor,2,laxmi nagar near metro station,15000,23.04147465437788
800,Apartment,2,other,12500,15.625
800,Apartment,2,other,13000,16.25
800,Apartment,2,other,13500,16.875
650,Independent Floor,2,Mayur Vihar I,12500,19.23076923076923
950,Apartment,2,IP Extension,27000,28.42105263157895
950,Apartment,2,Patparganj,22000,23.157894736842106
700,Independent Floor,2,mayur vihar phase 1,11000,15.714285714285714
1200,Apartment,2,Mayur Vihar,22000,18.333333333333332
651,Independent Floor,2,laxmi nagar near metro station,15000,23.04147465437788
550,Independent Floor,2,other,11500,20.90909090909091
600,Independent House,2,other,11000,18.333333333333332
651,Independent Floor,2,laxmi nagar near metro station,15000,23.04147465437788
651,Independent Floor,2,laxmi nagar near metro station,16000,24.577572964669738
1000,Independent Floor,3,other,27000,27.0
651,Independent Floor,2,laxmi nagar near metro station,11500,17.665130568356375
900,Independent Floor,3,laxmi nagar near metro station,20000,22.22222222222222
1250,Apartment,2,Mayur Vihar II,18000,14.4
651,Independent Floor,2,laxmi nagar near metro station,13000,19.96927803379416
800,Independent Floor,2,New Ashok Nagar,14000,17.5
1200,Independent Floor,3,New Ashok Nagar,22000,18.333333333333332
900,Independent Floor,2,New Ashok Nagar,14000,15.555555555555555
600,Independent Floor,2,New Ashok Nagar,12000,20.0
550,Independent Floor,2,New Ashok Nagar,11500,20.90909090909091
650,Independent Floor,2,New Ashok Nagar,10000,15.384615384615385
1000,Independent Floor,3,New Ashok Nagar,18000,18.0
800,Independent Floor,2,New Ashok Nagar,15000,18.75
850,Independent Floor,2,New Ashok Nagar,15000,17.647058823529413
600,Independent Floor,2,mayur vihar phase 1,14500,24.166666666666668
850,Independent Floor,2,Preet Vihar,14000,16.470588235294116
900,Independent Floor,3,laxmi nagar near metro station,14000,15.555555555555555
1450,Apartment,3,Patparganj,28000,19.310344827586206
800,Independent Floor,2,Preet Vihar,14000,17.5
650,Independent Floor,2,mayur vihar phase 1,12000,18.46153846153846
1620,Independent Floor,3,other,40000,24.691358024691358
1800,Independent Floor,3,other,45000,25.0
1530,Independent Floor,3,Anand Vihar,35000,22.875816993464053
2160,Independent Floor,4,IP Extension,50000,23.14814814814815
500,Independent Floor,2,mayur vihar phase 1,10000,20.0
590,Independent Floor,2,mayur vihar phase 1,10500,17.796610169491526
550,Independent Floor,2,mayur vihar phase 1,11000,20.0
580,Apartment,2,laxmi nagar near metro station,12500,21.551724137931036
1000,Independent Floor,2,Preet Vihar,14000,14.0
1000,Independent Floor,2,Preet Vihar,15000,15.0
900,Apartment,3,laxmi nagar near metro station,15000,16.666666666666668
1710,Independent Floor,3,Anand Vihar,42000,24.56140350877193
1710,Independent Floor,3,Preet Vihar,40000,23.391812865497077
1800,Independent Floor,3,IP Extension,35000,19.444444444444443
1710,Independent Floor,3,Preet Vihar,40000,23.391812865497077
2250,Independent Floor,4,Anand Vihar,55000,24.444444444444443
1710,Independent Floor,3,other,40000,23.391812865497077
1800,Independent Floor,3,Preet Vihar,45000,25.0
1620,Independent Floor,3,other,28000,17.28395061728395
800,Independent Floor,2,Preet Vihar,12500,15.625
1450,Apartment,3,mayur vihar phase 1,35000,24.137931034482758
1250,Independent Floor,2,Mayur Vihar II,19000,15.2
760,Apartment,2,laxmi nagar near metro station,12000,15.789473684210526
680,Apartment,2,laxmi nagar near metro station,11000,16.176470588235293
1000,Independent Floor,3,Preet Vihar,15000,15.0
1500,Independent Floor,3,Preet Vihar,19000,12.666666666666666
1400,Apartment,3,Mayur Vihar,35000,25.0
560,Independent Floor,2,other,12500,22.321428571428573
1620,Independent Floor,2,other,28000,17.28395061728395
1350,Independent Floor,3,Vivek Vihar,25000,18.51851851851852
1350,Independent Floor,2,Anand Vihar,24000,17.77777777777778
2700,Independent Floor,4,Shahdara,50000,18.51851851851852
900,Independent Floor,3,laxmi nagar near metro station,20000,22.22222222222222
590,Independent Floor,2,mayur vihar phase 1,11500,19.491525423728813
560,Independent Floor,2,other,12000,21.428571428571427
560,Independent Floor,2,laxmi nagar near metro station,12500,22.321428571428573
517,Independent Floor,2,other,13000,25.145067698259187
1200,Apartment,3,IP Extension,45000,37.5
680,Apartment,3,other,14500,21.323529411764707
760,Apartment,2,laxmi nagar near metro station,11000,14.473684210526315
560,Apartment,2,laxmi nagar near metro station,13000,23.214285714285715
700,Independent Floor,2,Preet Vihar,10000,14.285714285714286
750,Independent Floor,2,other,16000,21.333333333333332
1710,Independent Floor,3,other,30000,17.54385964912281
1100,Apartment,2,Mayur Vihar II,18000,16.363636363636363
1050,Apartment,2,Mayur Vihar II,20000,19.047619047619047
750,Independent Floor,2,mayur vihar phase 1,18000,24.0
350,Independent Floor,2,mayur vihar phase 1,13000,37.142857142857146
1000,Independent Floor,3,Mayur Vihar I,22000,22.0
600,Independent Floor,2,mayur vihar phase 1,16500,27.5
700,Independent Floor,2,Mayur Vihar I,16000,22.857142857142858
350,Independent Floor,2,mayur vihar phase 1,10000,28.571428571428573
16000,Independent House,5,other,450000,28.125
11000,Villa,5,other,415000,37.72727272727273
16000,Villa,5,other,425000,26.5625
15000,Villa,5,other,421000,28.066666666666666
800,Independent Floor,2,Preet Vihar,14000,17.5
550,Independent Floor,2,Delhi,7500,13.636363636363637
900,Independent Floor,3,laxmi nagar near metro station,15500,17.22222222222222
350,Independent Floor,2,mayur vihar phase 1,11000,31.428571428571427
800,Independent Floor,2,New Ashok Nagar,14000,17.5
800,Independent Floor,2,New Ashok Nagar,14000,17.5
900,Independent Floor,2,New Ashok Nagar,15000,16.666666666666668
750,Independent Floor,2,New Ashok Nagar,12000,16.0
600,Independent Floor,2,New Ashok Nagar,13000,21.666666666666668
500,Independent Floor,2,New Ashok Nagar,10000,20.0
660,Independent Floor,2,other,13000,19.696969696969695
555,Independent Floor,2,laxmi nagar near metro station,12500,22.52252252252252
1780,Apartment,4,mayur vihar phase 1,52500,29.49438202247191
950,Apartment,2,Anand Vihar,17000,17.894736842105264
15800,Villa,5,other,440000,27.848101265822784
1000,Apartment,3,Mayur Vihar II,30000,30.0
660,Apartment,2,other,12500,18.939393939393938
650,Independent Floor,2,other,12000,18.46153846153846
800,Independent Floor,2,Preet Vihar,13000,16.25
1000,Apartment,2,Patparganj,18000,18.0
800,Independent Floor,2,mayur vihar phase 1,15500,19.375
375,Independent Floor,4,other,70000,186.66666666666666
1400,Independent Floor,3,Preet Vihar,19000,13.571428571428571
1350,Apartment,3,mayur vihar phase 1,50000,37.03703703703704
950,Independent Floor,3,Pandav Nagar,22000,23.157894736842106
900,Independent Floor,3,laxmi nagar near metro station,18000,20.0
600,Independent Floor,2,mayur vihar phase 1,15000,25.0
850,Independent Floor,2,mayur vihar phase 1,15000,17.647058823529413
650,Independent Floor,2,other,12000,18.46153846153846
850,Independent Floor,2,mayur vihar phase 1,17000,20.0
600,Independent Floor,2,mayur vihar phase 1,12000,20.0
800,Independent Floor,2,mayur vihar phase 1,14000,17.5
800,Independent Floor,2,mayur vihar phase 1,15000,18.75
1000,Independent Floor,3,mayur vihar phase 1,20000,20.0
1000,Apartment,2,Mayur Vihar,17000,17.0
651,Apartment,2,other,15000,23.04147465437788
900,Independent Floor,3,laxmi nagar near metro station,13000,14.444444444444445
651,Independent Floor,2,other,11000,16.897081413210447
1400,Apartment,3,Mayur Vihar,23000,16.428571428571427
1150,Apartment,3,Mayur Vihar,19000,16.52173913043478
1300,Apartment,3,Mayur Vihar,24000,18.46153846153846
1275,Apartment,3,Mayur Vihar,22500,17.647058823529413
1300,Apartment,3,Mayur Vihar,27000,20.76923076923077
1300,Apartment,3,Mayur Vihar,25000,19.23076923076923
1350,Apartment,3,Delhi,24000,17.77777777777778
1050,Apartment,2,Mayur Vihar,19500,18.571428571428573
1275,Apartment,3,Mayur Vihar,22200,17.41176470588235
1350,Apartment,3,Mayur Vihar,25500,18.88888888888889
1350,Apartment,3,Mayur Vihar,24000,17.77777777777778
1150,Apartment,3,Mayur Vihar,25000,21.73913043478261
850,Apartment,2,Mayur Vihar,20000,23.529411764705884
1300,Apartment,3,Mayur Vihar,30000,23.076923076923077
1000,Apartment,2,Mayur Vihar,22000,22.0
850,Apartment,2,Mayur Vihar,21000,24.705882352941178
950,Apartment,2,Mayur Vihar,21000,22.105263157894736
1100,Apartment,2,Mayur Vihar,26500,24.09090909090909
950,Apartment,3,Mayur Vihar,22000,23.157894736842106
850,Apartment,2,Mayur Vihar,18000,21.176470588235293
1400,Apartment,3,Mayur Vihar,33000,23.571428571428573
1150,Apartment,3,Mayur Vihar,24000,20.869565217391305
1300,Apartment,3,Mayur Vihar,23000,17.692307692307693
1350,Apartment,2,Mayur Vihar,22000,16.296296296296298
900,Apartment,2,mayur vihar phase 1,19000,21.11111111111111
1400,Apartment,3,Mayur Vihar,32000,22.857142857142858
1200,Apartment,2,Mayur Vihar,18000,15.0
1250,Apartment,3,Mayur Vihar,24000,19.2
1050,Apartment,2,Mayur Vihar,25000,23.80952380952381
1400,Apartment,3,Mayur Vihar,25000,17.857142857142858
1250,Apartment,3,Mayur Vihar,22000,17.6
1250,Apartment,2,Mayur Vihar,18000,14.4
1000,Apartment,2,Mayur Vihar,18500,18.5
900,Apartment,2,Mayur Vihar,17500,19.444444444444443
900,Apartment,2,Mayur Vihar,19000,21.11111111111111
1500,Apartment,3,Mayur Vihar,27000,18.0
1350,Apartment,3,Mayur Vihar,24800,18.37037037037037
1400,Apartment,2,Mayur Vihar,20500,14.642857142857142
1150,Apartment,2,Mayur Vihar,24000,20.869565217391305
1300,Apartment,3,Mayur Vihar,22300,17.153846153846153
1000,Apartment,2,Mayur Vihar,18200,18.2
1250,Apartment,3,Mayur Vihar,26000,20.8
1350,Apartment,3,Mayur Vihar,27000,20.0
1050,Apartment,2,Mayur Vihar,20300,19.333333333333332
1050,Apartment,2,Mayur Vihar,19600,18.666666666666668
1275,Apartment,3,Mayur Vihar,27000,21.176470588235293
1600,Apartment,3,Mayur Vihar,29000,18.125
1500,Apartment,3,Mayur Vihar,24500,16.333333333333332
1350,Apartment,3,Mayur Vihar,22600,16.74074074074074
1050,Apartment,2,Mayur Vihar,20000,19.047619047619047
1150,Apartment,2,Mayur Vihar,19000,16.52173913043478
1150,Apartment,2,Mayur Vihar,19400,16.869565217391305
1050,Apartment,2,Mayur Vihar,19000,18.095238095238095
900,Apartment,2,Mayur Vihar,18000,20.0
1100,Apartment,2,Mayur Vihar,17500,15.909090909090908
2250,Independent Floor,4,other,50000,22.22222222222222
1350,Independent Floor,2,other,45000,33.333333333333336
2250,Independent Floor,4,other,60000,26.666666666666668
1900,Independent Floor,3,other,60000,31.57894736842105
2700,Independent Floor,4,Vivek Vihar,30000,11.11111111111111
1100,Independent Floor,2,Vivek Vihar,23000,20.90909090909091
1100,Independent Floor,2,other,23000,20.90909090909091
650,Independent Floor,2,mayur vihar phase 1,14000,21.53846153846154
1100,Independent Floor,3,mayur vihar phase 1,22000,20.0
750,Independent Floor,2,mayur vihar phase 1,17000,22.666666666666668
